./Log_files/output_rn_2layers.log
EM,F1
46.34815515610217,58.29360699781603
53.35856196783349,64.10487218291229
56.026490066225165,66.598481088125
58.533585619678334,68.64552579001806
60.07568590350047,69.82630484990298
60.61494796594134,70.52214778408316
61.67455061494797,71.25553328269196
62.327341532639544,71.82471443656327
62.620624408703875,72.15780515849416
63.58561967833491,72.67457371709949
63.35856196783349,72.96243847084526
63.982970671712394,73.1035058266251
63.94512771996216,73.28571979189147
64.08703878902554,73.31090512327278
64.49385052034059,73.72872486031626
65.11825922421949,74.25774940185971
65.08987701040681,74.27134643567454
65.1844843897824,74.23556263035738
65.3263954588458,74.64111204290431
65.28855250709556,74.56412781987315
65.57237464522233,74.65470266133185
65.8561967833491,74.90205716016283
65.94134342478714,74.91595113446425
65.74266792809838,74.91506895560728
66.1116367076632,75.32055237944665
66.29139072847683,75.29546640022585
66.16840113528855,75.00062148305092
66.29139072847683,75.16920847895014
66.55629139072848,75.34819343698246
66.39545884578997,75.30111847420241
66.75496688741723,75.47589724135969
66.30085146641439,75.11071503361097
66.5752128666036,75.45331717809421
66.89687795648061,75.62713393024897
66.480605487228,75.57233648412937
67.05771050141911,75.94092491184654
66.91579943235573,75.65050164762242
66.82119205298014,75.76458734738316
66.93472090823084,75.82449048322987
67.19016083254493,75.79983852611021
67.12393566698202,76.09099694755531
67.18070009460737,75.91745445837276
67.09555345316934,75.97026542861278
67.1050141911069,75.97545980344924
67.25638599810786,76.0608456743945
