./Log_files/output_posenc_afterRNN_rn.log
EM,F1
4.692526017029328,10.842087122815192
6.679280983916746,12.870071534887797
24.796594134342477,37.537419332959246
32.27057710501419,44.53673647017403
38.38221381267739,50.382005672980675
41.27719962157048,53.316778961157496
46.05487228003784,57.780114774871
47.842951750236516,59.49582855856781
52.12866603595081,63.79273066534872
52.544938505203405,64.02980372233279
54.191106906338696,64.70654315756443
55.600756859035,66.88389865123325
58.31598864711447,68.3515968939797
59.24314096499527,69.53055156079927
60.01892147587512,70.1804876836758
60.189214758751184,70.448479821133
60.77578051087985,70.91461036463113
62.100283822138124,71.65822537938723
62.13812677388837,71.65614569095675
62.47871333964049,72.19974731733053
62.82876064333018,72.58412206303726
62.78145695364238,72.63338071885563
62.8003784295175,72.85938825252659
63.48155156102176,73.181848094283
63.48155156102176,73.09019192383506
63.92620624408704,73.9064265348727
64.12488174077578,73.94716798091025
63.95458845789972,73.92084351733745
64.74929044465468,74.26463466535719
64.25733207190162,74.13450968816886
64.0964995269631,74.2650907731246
65.08041627246925,74.54463974054256
65.20340586565752,74.83808637006848
65.10879848628193,74.75377529634915
65.24124881740775,74.9664959145428
65.279091769158,74.94313156881714
65.76158940397352,75.52839228436197
65.40208136234627,75.17423694322996
65.61967833491012,75.21894471571562
66.27246925260171,75.5564599500079
65.53453169347209,75.06088824110635
66.1116367076632,75.76118387414589
66.7360454115421,76.05353652871203
66.66982024597918,76.03338879190827
66.53736991485336,75.9879516665037
66.72658467360453,75.85002135334699
66.80227057710502,76.33938112876832
67.03878902554399,76.41241844527788
67.00094607379376,76.6330627599358
66.76442762535478,76.3818900220713
67.13339640491958,76.40059676815716
66.49952696310312,76.34217265590493
67.08609271523179,76.46814521577123
66.71712393566698,76.24205824066684
66.71712393566698,76.41320189199682
67.26584673604542,76.68473672955922
67.09555345316934,76.74376112042255
67.65373699148533,76.84461794972928
67.68211920529801,77.16076536533906
67.26584673604542,76.44577283752754
67.33207190160833,76.74802938293284
67.71996215704824,77.02003205890611
67.76726584673605,76.88095690512185
67.4550614947966,76.72142865378422
67.11447492904446,77.00091360431523
66.75496688741723,76.64496228144858
67.36991485335857,77.03604365176497
67.67265846736045,77.12582635518815
67.51182592242195,77.02789598386461
67.69157994323557,77.19674966813886
67.47398297067171,76.88788261147192
67.4550614947966,77.18760803319711
67.89025543992432,77.36436983541265
67.8240302743614,77.18117380461449
68.01324503311258,77.40935100020947
67.7294228949858,77.28241251415582
67.38883632923368,76.94904619642227
67.67265846736045,77.30022266525037
67.78618732261117,77.44546031911584
67.86187322611164,77.43851532620508
68.15515610217597,77.35618597329746
