./Log_files/output_rnn8_ln_res_kmax_rn_2layers_concat_objects4.log
EM,F1
34.89120151371807,46.93480988240116
51.74077578051088,63.05564094566177
55.638599810785244,66.9948161435091
59.3282876064333,69.75830561348168
61.35288552507095,71.49894047943667
62.28949858088931,72.76949300853889
63.56669820245979,73.42909779527864
64.58845789971618,74.52557580591827
64.59791863765373,74.8136332511453
66.0643330179754,75.6019891628598
66.24408703878902,75.87486987961246
66.45222327341533,76.27008031059663
67.22800378429517,76.692893965242
67.13339640491958,76.71201754037423
67.66319772942289,77.0672452843611
67.9848628192999,77.3279174888017
68.17407757805108,77.43238241373137
67.90917691579943,77.16117547692383
68.25922421948913,77.82129239678333
68.71333964049195,77.99097798721614
68.4957426679281,77.83760213732155
68.77956480605488,78.2543968900771
69.14853358561967,78.1419074930863
69.120151371807,78.36595472758364
68.63765373699148,78.16833492280573
68.94039735099338,78.50320974241674
68.85525070955535,78.4008127241448
68.9593188268685,78.23773687513966
68.85525070955535,78.07736722782184
68.83632923368023,78.20980028810257
69.10122989593188,78.33017192238786
69.47965941343425,78.62456536386318
69.06338694418164,78.30517156596514
69.4228949858089,78.74838958530454
69.40397350993378,78.76664656599505
69.3282876064333,78.55460882020229
69.34720908230842,78.50950317365407
68.9593188268685,78.14988200398398
69.5837275307474,78.80651877086176
69.34720908230842,78.77851755886174
69.73509933774834,78.85665230852688
69.68779564806054,78.99111343461072
69.25260170293284,78.48581090253744
69.29990539262063,78.70039171886954
69.19583727530747,78.57055155458785
69.40397350993378,78.80155810993142
69.66887417218543,78.81995767832264
69.5837275307474,78.83895156842824
69.51750236518448,78.84904598347957
70.22705771050141,79.34538875262218
69.47019867549669,78.72371373681105
69.50804162724693,78.73210100956936
69.64995269631031,78.80644018910604
69.68779564806054,78.90766329102449
69.70671712393566,78.86515934971892
69.22421948912014,78.74687813987063
69.82970671712394,79.03716177557544
69.39451277199622,78.69773851551365
69.52696310312204,78.83323051503167
69.5837275307474,78.881375963209
69.44181646168401,78.81081545020625
69.78240302743615,79.12517697720195
69.4228949858089,78.76038308422835
69.5837275307474,78.87841314857125
69.64995269631031,79.15065723028282
69.21475875118259,78.81423324586268
69.72563859981078,79.08556625418029
69.66887417218543,78.89763651297821
69.5837275307474,78.99180230202971
69.46073793755913,79.01881877476886
69.29990539262063,78.83208090535261
69.52696310312204,78.91731435034119
69.52696310312204,78.83310872591132
69.34720908230842,78.66083735442032
69.43235572374645,78.80760315822337
69.3282876064333,78.88629790858762
69.18637653736991,78.87026358591753
69.61210974456007,78.90795806403194
69.64995269631031,78.95569104866395
69.18637653736991,78.74667903011557
69.5364238410596,78.88516835988048
69.36613055818354,78.648135076037
69.63103122043519,78.81696431297827
69.27152317880795,78.5744649414059
69.81078524124882,78.98662239186737
69.27152317880795,78.63903541750851
69.44181646168401,78.83359163750511
69.10122989593188,78.60898209744722
69.38505203405866,78.79807663162497
69.55534531693472,78.85709789864339
69.64049195837275,78.8172350540058
69.76348155156103,78.8826628339741
69.63103122043519,78.72622725349991
69.49858088930937,78.82201431676123
69.50804162724693,78.86645978430238
68.98770104068117,78.45872154872923
69.2620624408704,78.7970228348177
69.82970671712394,79.21301799728259
69.31882686849575,78.72454668015827
69.15799432355723,78.60536616330322
69.36613055818354,78.62175435847665
69.50804162724693,78.89515085784502
69.36613055818354,78.83493734210353
69.41343424787134,78.8004359262786
69.61210974456007,78.90939471353066
