./Log_files/output_posenc.log
EM,F1
38.38221381267739,50.85532725352711
41.106906338694415,53.02589303205686
47.909176915799435,59.55450475201489
50.89877010406812,62.07778496453619
53.71807000946074,64.44490065199587
55.808893093661304,66.34867615902141
56.22516556291391,66.95445700702017
58.06054872280038,68.54496988520886
58.221381267738884,68.7375181704887
58.8647114474929,69.20939395362726
59.61210974456007,69.93849988140632
59.47019867549669,70.0463663128092
60.06622516556291,70.52894112481845
60.6244087038789,71.07275315832072
61.239356669820246,71.65571233667914
61.485335856196784,71.57540928654154
61.627246925260174,72.14824230008989
62.04351939451277,71.98075711813638
62.47871333964049,72.47102575694497
62.3368022705771,72.76794287373617
62.26111636707663,72.92616500442004
62.459791863765375,72.98321824550271
62.66792809839168,73.0854753423599
63.207190160832546,73.24409732553345
63.443708609271525,73.50131080028015
63.33964049195837,73.66423906367595
63.670766319772945,73.99532206430035
63.90728476821192,73.85729318237894
64.01135288552507,74.18419666275463
64.31409649952697,74.32444184773404
64.05865657521286,74.22965086441027
64.77767265846737,74.63038643876443
64.29517502365185,74.24177607553253
64.36140018921476,74.39029595259187
64.34247871333964,74.48115117537041
64.73036896877956,74.60837178133553
64.90066225165563,75.051215343056
64.75875118259225,74.982759235346
65.20340586565752,75.07376853180057
65.53453169347209,75.46298519973777
65.47776726584674,75.35746907816834
64.57899716177862,74.85758561424775
65.65752128666036,75.44321847347244
65.33585619678335,75.16600472907736
65.79943235572375,75.45901633966194
66.00756859035005,75.80018376341289
65.30747398297068,75.8852263406478
65.82781456953643,75.8678983659882
65.62913907284768,75.58698853461057
65.88457899716178,76.02797383205282
66.10217596972564,75.80723381056404
65.92242194891202,75.8472916270997
65.99810785241249,75.81188045647855
66.25354777672659,75.81277449948384
66.66035950804162,76.34295890357757
66.14947965941343,76.00525229651656
66.1778618732261,76.09334084510304
66.24408703878902,75.93170749838676
66.49952696310312,76.16457507284872
66.38599810785242,76.16962365201108
66.43330179754021,76.21709929204233
66.41438032166509,76.26193352469996
66.63197729422895,76.31138937447707
66.67928098391674,76.1884344558287
66.63197729422895,76.09381826831647
66.45222327341533,76.31694509852618
66.55629139072848,76.24332850855825
66.63197729422895,76.46324949270449
66.51844843897824,76.41021303214147
66.84957426679281,76.65974936703881
66.41438032166509,76.3260389529939
66.61305581835383,76.2602629302798
66.5279091769158,76.31602144099321
66.90633869441817,76.44982059161735
66.72658467360453,76.48899376156508
66.81173131504258,76.48287271225914
66.80227057710502,76.70661598907881
66.8306527909177,76.68933831919843
66.91579943235573,76.5752530642579
66.90633869441817,76.55008813017149
66.97256385998108,76.73917988149122
