./Log_files/output_kmax2_objects10_nopos.log
EM,F1
44.966887417218544,58.47519217274597
53.2639545884579,65.08699268828792
55.572374645222325,67.58640051084741
58.62819299905393,69.61467421311441
60.2081362346263,71.18782960349773
60.84200567644276,71.76867874886966
61.93945127719962,72.82270218046702
62.762535477767265,73.4621882700525
63.226111636707664,73.88211326984087
64.1438032166509,74.42322206707404
63.64238410596027,74.35815233716515
65.08041627246925,75.30126797850207
64.95742667928099,75.38183503176491
65.59129612109744,75.48587411937625
66.08325449385052,76.00503061582135
65.80889309366131,75.59659515588686
66.23462630085146,75.96391947112443
66.62251655629139,75.94034250568245
66.12109744560075,76.21335097036459
67.09555345316934,76.98337689128986
67.08609271523179,76.62687049432488
66.65089877010406,76.75819645265155
66.86849574266793,76.5868027430163
67.1050141911069,76.95694031678994
67.4550614947966,77.35615578060641
67.02932828760643,77.08531648167732
67.78618732261117,77.47833588658251
67.8713339640492,77.42045645302373
67.80510879848629,77.35477520113359
67.55912961210974,77.3149953810975
67.8240302743614,77.33370692575811
68.15515610217597,77.62890102032436
68.02270577105014,77.75841400395011
68.2876064333018,77.98239078068994
68.13623462630085,77.61302441118575
68.37275307473983,78.00410293977906
68.10785241248817,77.7502271413343
68.13623462630085,77.76666610655425
68.80794701986756,78.16607747993774
68.43897824030275,78.11880828715634
68.74172185430463,78.24305759475725
68.62819299905392,78.07238119438267
68.94985808893094,78.26986342158835
69.04446546830653,78.30609060046295
69.3282876064333,78.5366099691417
68.2876064333018,78.28243092313365
68.63765373699148,78.3828976664691
68.62819299905392,78.26922433017623
68.2876064333018,77.95564723071993
68.87417218543047,78.63755742136678
68.38221381267739,78.36711532069543
68.98770104068117,78.4619515925043
69.00662251655629,78.44298631023855
69.36613055818354,78.48652195971614
69.16745506149479,78.7448859325295
68.58088930936613,78.1092381124
69.10122989593188,78.54353283616207
69.78240302743615,79.18010342208375
69.8391674550615,78.99430113309242
69.41343424787134,78.82308873411445
69.3282876064333,78.85022796229323
69.61210974456007,78.85350810674635
69.45127719962157,78.70469396741439
68.99716177861873,78.66492974340592
69.13907284768212,78.9565259853138
68.71333964049195,78.45094386280022
69.03500473036897,78.83264304428874
69.3755912961211,79.01078091506037
69.51750236518448,78.92994435950686
69.63103122043519,79.1745758664293
69.94323557237465,79.08690975608468
70.01892147587512,79.08680011414529
69.4228949858089,79.05702016072733
69.93377483443709,79.17586671385428
69.72563859981078,79.03560252613849
69.54588457899716,79.06488427868919
69.30936613055819,78.88940925180567
69.57426679280984,79.03577857405008
69.22421948912014,78.70038212559969
69.41343424787134,78.93052279899719
69.30936613055819,78.8717712239357
69.29044465468307,78.83798511237683
69.46073793755913,78.86383213857899
69.15799432355723,78.80994748726177
69.96215704824976,79.160876123666
69.4228949858089,78.93430858132832
69.7445600756859,78.9401940600518
69.20529801324503,78.88828576428782
70.00946073793756,79.20048398683966
69.52696310312204,79.26948933452901
69.29044465468307,78.86852752118722
69.70671712393566,79.25183949576078
69.64995269631031,79.02364829445052
69.6972563859981,79.10483985981503
69.46073793755913,79.00964641142762
69.70671712393566,79.21331929291293
69.45127719962157,79.11545282270436
69.43235572374645,79.03332350420773
69.33774834437087,78.85414693029023
69.18637653736991,78.82427717882258
69.14853358561967,78.83253183721865
69.54588457899716,78.96396820545522
69.47965941343425,79.0306906677425
69.24314096499526,78.79660504671062
69.7918637653737,79.20464977418767
69.63103122043519,79.19913003750837
69.13907284768212,78.81927736959639
69.70671712393566,79.0940308228983
69.63103122043519,79.03568130791687
70.26490066225166,79.45110817306424
