./Log_files/output_convenc3layers_rn3layers_ln_res_lr0.002_bs16.log
EM,F1
19.47965941343425,28.024230150156868
31.816461684011355,43.21763927306595
40.17029328287607,52.31462755106502
42.72469252601703,54.45182925155532
44.61684011352885,56.565661271642654
45.97918637653737,58.30486266319905
48.10785241248817,59.92771285693951
48.46736045411542,60.995469230882435
50.17029328287607,62.11539438309482
50.350047303689685,62.53054346208821
51.0879848628193,63.44861097799357
52.4314096499527,64.37179197882313
52.94228949858089,64.99791348117357
53.084200567644274,65.43425933906416
52.771996215704824,64.47085142395119
53.831598864711445,65.81272707426615
54.71144749290445,66.43566806037195
54.83443708609271,66.66278839062805
54.427625354777675,66.39819960864945
55.20340586565752,67.42663084258831
56.026490066225165,67.84628942914705
55.15610217596973,67.01883227018418
56.46168401135289,68.13366272279642
56.00756859035005,67.95261319421044
56.14001892147588,67.85299319196305
55.92242194891202,67.84990626277045
57.26584673604541,69.13152048683382
56.90633869441817,68.72568076721002
56.707663197729424,68.41011060806055
57.06717123935667,68.85222801686302
57.87133396404919,69.3189139211061
57.8240302743614,69.28561112318829
57.17123935666982,68.95224553555177
57.60643330179754,69.31362992815617
58.17407757805109,69.7771535967233
58.26868495742668,70.0245928599842
58.33491012298959,69.66132774287198
58.136234626300855,69.86161636254967
58.17407757805109,69.72541016739038
58.26868495742668,69.83461980511083
58.656575212866606,70.02903757625782
58.56196783349101,69.9825121095951
58.41059602649007,70.13485036634894
57.909176915799435,69.52351567956485
58.87417218543046,70.14266471358201
58.87417218543046,70.54788517942045
58.46736045411542,70.18803008597723
58.59035004730369,69.9172549707638
58.08893093661305,69.96801705509371
58.741721854304636,70.3572148513313
58.54304635761589,69.94968939045937
57.80510879848628,69.83002578423044
58.48628192999054,70.15346646260575
58.41059602649007,69.89726773977426
58.77010406811731,70.15857130241976
58.25922421948912,70.09608958694928
58.58088930936613,69.99655080086922
58.42951750236519,69.90683932362094
58.77010406811731,70.45154468807021
58.609271523178805,70.27631665882451
58.533585619678334,70.1469165725485
58.826868495742666,70.01974504909683
57.92809839167455,69.79966003505413
58.57142857142857,70.36091316113898
58.448438978240304,69.97551154057847
57.6631977294229,69.75586827017102
58.06054872280038,69.8403140603499
57.8240302743614,69.7965188140517
58.59035004730369,70.13846657690787
58.0321665089877,70.00639267549
59.13907284768212,70.57544334933525
58.9593188268685,70.38157025328339
58.71333964049196,70.20493407916432
58.221381267738884,69.84147670727032
58.32544938505203,70.0091173117471
58.19299905392621,69.97273904298858
57.71050141911069,69.74828200635916
57.48344370860927,69.57092564552096
57.81456953642384,69.85325948681636
57.86187322611163,69.85712822133277
