./Log_files/output_layerNorm.log
EM,F1
44.7682119205298,58.10138705194576
52.242194891201514,64.27335694702816
55.411542100283825,66.53577761160952
58.08893093661305,68.51174784508675
44.7682119205298,58.10138705194576
52.242194891201514,64.27335694702816
55.411542100283825,66.53577761160952
58.08893093661305,68.51174784508675
60.567644276253546,70.5505470580098
60.76631977294229,71.37196214028944
62.48817407757805,72.54998045835059
62.771996215704824,73.00213547592234
63.6802270577105,73.71163725986891
