./Log_files/output_kmax_question_rn_2layers_objects5_concat.log
EM,F1
48.80794701986755,61.010198579702134
55.33585619678335,66.79137343142702
57.81456953642384,69.2362539984143
60.55818353831599,71.04316267494663
61.9678334910123,72.3990368379368
62.39356669820246,73.0111961814095
64.42762535477767,74.3362669606107
64.54115421002838,74.68530296396216
65.03311258278146,75.1126111020046
65.55345316934721,75.47332597950036
65.55345316934721,75.62717981965405
66.34815515610218,76.065353867358
66.07379375591296,76.18780924184105
66.71712393566698,76.50275106240413
67.36991485335857,76.91467250956966
67.12393566698202,76.84390290817446
67.46452223273415,77.13130205502537
67.79564806054873,77.09883659455767
67.63481551561021,77.34888080928327
68.12677388836329,77.70977756464126
67.8713339640492,77.56860982356447
67.55912961210974,77.51523234966184
68.42005676442763,77.79636583869019
68.81740775780511,78.31059828975764
68.74172185430463,78.21509997936434
67.84295175023652,77.77476909557284
68.78902554399244,78.03765191512429
68.90255439924314,78.07568311709693
69.35666982024598,78.53627728994107
68.93093661305582,78.27627128488719
69.24314096499526,78.40424957233698
